,año_dependencia,dependencia_clean,calidad_original_en_proceso,calidad_original_no_respondida,calidad_original_satisfactoria,calidad_real_en_proceso,calidad_real_no_respondida,calidad_real_satisfactoria,total,diferencia
453,2019,senado de la república,68,308,1682,68,715,1275,2058,407
454,2019,sectur,30,358,1661,30,778,1241,2049,420
455,2019,semar,39,378,1574,39,744,1208,1991,366
456,2019,sagarpa,31,435,1379,31,667,1147,1845,232
457,2019,instituto nacional de migración,36,253,1257,36,476,1034,1546,223
458,2019,policia federal,50,283,1138,50,493,928,1471,210
459,2019,profeco,382,238,828,382,571,495,1448,333
460,2019,inah,63,94,1194,63,635,653,1351,541
461,2019,procuraduría federal del consumidor,61,41,1201,61,636,606,1303,595
462,2019,auditoría superior de la federación,120,261,880,120,830,311,1261,569
463,2019,cnbv,68,562,583,68,715,430,1213,153
464,2019,archivo general de la nación,23,23,1110,23,287,846,1156,264
465,2019,registro agrario nacional,165,132,804,165,269,667,1101,137
466,2019,secretariado ejecutivo del sistema nacional de seguridad pública,22,257,820,22,570,507,1099,313
467,2019,instituto mexicano de la propiedad industrial,9,65,968,9,203,830,1042,138
468,2019,instituto federal de telecomunicaciones (ift),24,114,867,24,347,634,1005,233
469,2019,capufe,14,144,824,14,201,767,982,57
470,2019,instituciones de educacion superior autonomas,21,189,725,21,285,629,935,96
471,2019,instituto del fondo nacional de la vivienda para los trabajadores,47,152,735,47,394,493,934,242
472,2019,sae,7,289,575,7,528,336,871,239
473,2019,administracion publica federal,22,301,363,22,402,262,686,101
474,2019,sedesol,16,136,516,16,356,296,668,220
475,2019,aeropuertos y servicios auxiliares (asa),10,145,287,10,378,54,442,233
